AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
28,1,1,6,61801,2017
60,1,1,6,61802,2017
51,1,1,6,61808,2017
13,1,2,6,61811,2017
57,1,2,6,61814,2017
41,1,1,6,61816,2017
25,1,2,6,61825,2017
25,1,1,6,61838,2017
56,1,1,6,61840,2017
53,1,1,6,61845,2017
46,1,1,6,61852,2017
51,1,2,6,61854,2017
50,1,1,6,61855,2017
23,1,1,6,61859,2017
45,1,1,6,61861,2017
34,1,2,6,61891,2017
37,1,1,6,61893,2017
58,1,1,6,61897,2017
28,1,2,6,61905,2017
37,1,2,6,61906,2017
85,1,2,6,61907,2017
77,1,2,6,61910,2017
36,1,2,6,61911,2017
24,1,1,6,61912,2017
33,1,1,6,61916,2017
71,1,1,6,61924,2017
52,1,2,6,61927,2017
28,1,1,6,61932,2017
2,1,1,6,61941,2017
64,1,1,6,61942,2017
32,1,1,6,61944,2017
26,1,1,6,61948,2017
20,1,1,6,61960,2017
27,1,1,6,61962,2017
24,1,1,6,61964,2017
56,1,2,6,61967,2017
70,1,1,6,61973,2017
74,1,1,6,61974,2017
42,1,1,6,61978,2017
78,1,2,6,61980,2017
60,1,1,6,61982,2017
54,1,1,6,61983,2017
42,1,1,6,61993,2017
67,1,1,6,62007,2017
35,1,2,6,62010,2017
23,1,2,6,62011,2017
27,2,1,6,62011,2017
28,1,1,6,62016,2017
51,1,1,6,62036,2017
85,1,1,6,62037,2017
57,1,1,6,62038,2017
49,1,1,6,62040,2017
79,1,2,6,62044,2017
55,1,1,6,62049,2017
56,1,2,6,62050,2017
48,1,1,6,62051,2017
47,1,2,6,62057,2017
50,1,1,6,62059,2017
80,1,2,6,62060,2017
44,1,1,6,62061,2017
79,1,2,6,62067,2017
78,1,1,6,62071,2017
25,1,1,6,62082,2017
28,1,1,6,62086,2017
61,1,1,6,62088,2017
47,1,2,6,62091,2017
90,1,1,6,62092,2017
63,1,1,6,62101,2017
47,1,2,6,62114,2017
55,1,2,6,62115,2017
23,1,1,6,62127,2017
60,1,1,6,62132,2017
45,1,1,6,62133,2017
79,1,2,6,62134,2017
38,1,1,6,62137,2017
59,1,1,6,62141,2017
33,1,1,6,62145,2017
47,1,1,6,62150,2017
88,1,1,6,62151,2017
58,1,1,6,62152,2017
34,1,1,6,62153,2017
42,1,1,6,62156,2017
54,1,1,6,62157,2017
59,1,2,6,62159,2017
72,1,1,6,62172,2017
73,1,1,6,62178,2017
64,1,1,6,62189,2017
15,2,1,6,62190,2017
64,1,1,6,62195,2017
64,1,1,6,62196,2017
74,1,1,6,62197,2017
52,1,2,6,62198,2017
51,1,1,6,62204,2017
20,1,1,6,62210,2017
54,1,1,6,62211,2017
88,1,2,6,62213,2017
23,1,1,6,62221,2017
50,1,1,6,62225,2017
44,1,1,6,62227,2017
41,1,2,6,62228,2017
53,1,2,6,62236,2017
66,1,2,6,62242,2017
58,1,1,6,62243,2017
64,1,2,6,62244,2017
17,1,1,6,62246,2017
17,1,1,6,62247,2017
57,1,1,6,62250,2017
71,1,1,6,62251,2017
18,1,2,6,62264,2017
34,1,2,6,62272,2017
28,1,1,6,62273,2017
86,1,2,6,62276,2017
63,1,1,6,62277,2017
33,1,1,6,62279,2017
41,1,2,6,62283,2017
18,1,2,6,62284,2017
81,1,2,6,62285,2017
76,1,1,6,62300,2017
36,1,1,6,62307,2017
26,1,2,6,62308,2017
67,1,1,6,62314,2017
65,1,1,6,62319,2017
54,1,1,6,62320,2017
68,2,1,6,62321,2017
46,1,1,6,62326,2017
35,1,2,6,62328,2017
62,1,1,6,62334,2017
16,1,1,6,62338,2017
57,1,2,6,62339,2017
84,1,1,6,62341,2017
34,1,1,6,62343,2017
19,1,1,6,62350,2017
21,1,1,6,62352,2017
51,1,2,6,62356,2017
54,1,2,6,62357,2017
70,1,2,6,62382,2017
55,1,1,6,62384,2017
57,1,1,6,62385,2017
85,2,1,6,62387,2017
78,1,1,6,62390,2017
30,1,1,6,62404,2017
20,1,2,6,62406,2017
69,1,1,6,62412,2017
36,1,2,6,62414,2017
60,1,1,6,62419,2017
61,1,1,6,62420,2017
28,1,1,6,62421,2017
55,1,1,6,62425,2017
29,1,2,6,62428,2017
58,1,1,6,62431,2017
76,1,1,6,62434,2017
76,1,2,6,62436,2017
46,1,1,6,62437,2017
80,1,2,6,62443,2017
71,1,1,6,62445,2017
37,1,1,6,62446,2017
53,1,1,6,62447,2017
62,1,2,6,62448,2017
41,1,1,6,62449,2017
36,1,1,6,62450,2017
46,1,2,6,62454,2017
49,1,2,6,62457,2017
38,1,2,6,62462,2017
37,1,2,6,62465,2017
44,1,1,6,62466,2017
25,1,1,6,62467,2017
23,1,2,6,62475,2017
50,1,1,6,62479,2017
41,2,1,6,62484,2017
84,1,2,6,62491,2017
28,1,1,6,62493,2017
81,1,1,6,62497,2017
84,1,1,6,62504,2017
69,1,1,6,62508,2017
20,1,2,6,62510,2017
40,1,1,6,62515,2017
36,1,1,6,62516,2017
56,1,1,6,62517,2017
79,1,1,6,62518,2017
17,1,1,6,62520,2017
49,1,2,6,62524,2017
61,1,2,6,62528,2017
41,1,1,6,62533,2017
52,1,1,6,62534,2017
66,1,1,6,62535,2017
34,1,1,6,62541,2017
69,1,1,6,62543,2017
53,1,2,6,62545,2017
69,1,1,6,62547,2017
68,1,1,6,62553,2017
59,1,1,6,62557,2017
45,1,1,6,62561,2017
61,1,1,6,62565,2017
23,1,1,6,62567,2017
46,1,1,6,62574,2017
65,1,1,6,62575,2017
83,1,1,6,62577,2017
47,1,2,6,62578,2017
71,1,2,6,62581,2017
58,1,2,6,62586,2017
4,1,1,6,62588,2017
29,1,2,6,62589,2017
20,1,1,6,62590,2017
47,1,2,6,62592,2017
32,1,2,6,62593,2017
51,1,2,6,62594,2017
36,1,1,6,62597,2017
28,1,9,6,62598,2017
46,1,1,6,62600,2017
29,1,2,6,62606,2017
74,1,1,6,62610,2017
52,1,1,6,62614,2017
55,1,1,6,62615,2017
38,1,1,6,62619,2017
27,1,1,6,62622,2017
52,1,2,6,62623,2017
78,1,2,6,62624,2017
69,1,1,6,62625,2017
47,1,1,6,62626,2017
46,1,1,6,62627,2017
75,1,2,6,62628,2017
