A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10216,2018
2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,0,1,Alabama,10217,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,0,1,Alabama,10218,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10219,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10220,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10221,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10222,2018
2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,0,1,Alabama,10223,2018
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,1,Alabama,10224,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10225,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10226,2018
2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,0,1,Alabama,10227,2018
1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,4,1,0,1,Alabama,10228,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,0,1,Alabama,10229,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10230,2018
1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,1,0,1,Alabama,10231,2018
3,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10232,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10233,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,0,1,Alabama,10234,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10235,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10236,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10237,2018
