A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_RELRD,A_RU,FATALS,SCH_BUS,STATE,ST_CASE,YEAR
2,2,2,2,2,2,1,1,1,1,0,1,10339,2015
2,2,2,2,2,2,2,4,1,1,0,1,10340,2015
2,2,2,2,2,2,2,4,1,1,0,1,10341,2015
2,2,2,2,2,2,1,1,1,1,0,1,10342,2015
2,2,2,2,1,1,2,1,2,1,0,1,10343,2015
2,2,2,2,1,1,2,1,2,1,0,1,10344,2015
2,1,2,1,1,2,2,1,2,1,0,1,10345,2015
2,2,2,2,2,2,2,4,2,1,0,1,10346,2015
2,2,2,2,2,2,2,1,1,1,0,1,10347,2015
2,2,2,2,2,2,2,1,1,3,0,1,10348,2015
2,2,2,2,2,2,2,1,1,1,0,1,10349,2015
2,2,2,2,1,1,2,1,2,1,0,1,10350,2015
2,2,2,2,2,2,2,4,1,1,0,1,10351,2015
2,2,2,2,2,2,2,1,1,1,0,1,10352,2015
2,2,2,2,2,2,2,1,1,1,0,1,10353,2015
2,2,2,2,2,2,2,4,1,1,0,1,10354,2015
2,2,2,2,2,2,2,4,1,1,0,1,10355,2015
2,2,2,2,2,2,2,1,2,1,0,1,10356,2015
1,1,1,1,1,2,2,1,2,1,0,1,10357,2015
2,2,2,2,2,2,2,4,1,2,0,1,10358,2015
2,2,2,2,2,2,1,1,2,1,0,1,10359,2015
1,1,1,1,1,2,2,1,2,2,0,1,10360,2015
2,2,2,2,2,2,2,4,1,1,0,1,10361,2015
2,2,2,2,2,2,2,4,2,1,0,1,10362,2015
2,2,2,2,2,2,2,1,2,1,0,1,10363,2015
2,2,2,2,2,2,2,1,2,1,0,1,10364,2015
2,2,2,2,2,2,2,1,2,1,0,1,10365,2015
2,2,2,2,2,2,2,4,1,1,0,1,10366,2015
2,2,2,2,2,2,2,4,2,1,0,1,10367,2015
2,2,2,2,1,1,2,1,2,1,0,1,10368,2015
2,2,2,2,2,2,2,1,1,1,0,1,10369,2015
2,2,2,2,2,2,1,1,2,1,0,1,10370,2015
2,2,2,2,2,2,1,1,1,1,0,1,10371,2015
2,2,2,2,1,1,2,1,1,1,0,1,10372,2015
2,2,2,2,2,2,2,1,2,1,0,1,10373,2015
2,2,2,2,1,1,2,1,1,1,0,1,10374,2015
1,1,1,1,1,2,2,4,1,1,0,1,10375,2015
2,2,2,2,2,2,2,4,2,1,0,1,10376,2015
2,2,2,2,2,2,2,1,1,1,0,1,10377,2015
2,2,2,2,2,2,2,1,1,1,0,1,10378,2015
2,2,2,2,2,2,2,4,1,1,0,1,10379,2015
2,2,2,2,2,2,2,4,2,1,0,1,10380,2015
2,2,2,2,2,2,2,1,1,1,0,1,10381,2015
2,2,2,2,2,2,1,4,1,1,0,1,10382,2015
2,2,2,2,2,2,1,4,1,1,0,1,10383,2015
2,2,2,2,2,2,1,1,1,1,0,1,10384,2015
2,2,2,2,2,2,1,1,1,1,0,1,10385,2015
2,2,2,2,1,1,2,1,1,1,0,1,10386,2015
2,2,2,2,2,2,2,1,2,1,0,1,10387,2015
1,1,1,1,1,2,2,4,1,1,0,1,10388,2015
2,2,2,2,2,2,2,1,2,1,0,1,10389,2015
1,1,1,1,1,2,2,4,1,1,0,1,10390,2015
2,2,2,2,2,2,2,1,2,1,0,1,10391,2015
2,1,2,1,1,2,2,4,1,1,0,1,10392,2015
2,2,2,2,2,2,2,1,2,1,0,1,10393,2015
2,2,2,2,2,2,2,4,1,1,0,1,10394,2015
2,2,2,2,2,2,2,1,1,1,0,1,10395,2015
2,2,2,2,2,2,1,4,1,1,0,1,10396,2015
2,2,2,2,2,2,1,1,1,1,0,1,10397,2015
2,2,2,2,2,2,2,4,1,1,0,1,10398,2015
2,2,2,2,2,2,2,1,2,1,0,1,10399,2015
1,1,1,1,1,2,2,1,1,1,0,1,10400,2015
2,2,2,2,2,2,2,1,1,1,0,1,10401,2015
2,2,2,2,2,2,2,4,2,1,0,1,10402,2015
2,1,2,1,1,2,2,1,1,1,0,1,10403,2015
2,2,2,2,2,2,2,4,1,1,0,1,10404,2015
2,2,2,2,1,1,2,1,2,1,0,1,10405,2015
2,2,2,2,2,2,2,4,1,1,0,1,10406,2015
2,2,2,2,2,2,2,4,1,1,0,1,10407,2015
2,2,2,2,1,1,2,4,1,1,0,1,10408,2015
2,2,2,2,1,1,1,1,2,1,0,1,10409,2015
2,2,2,2,1,1,1,1,2,1,0,1,10410,2015
2,2,2,2,2,2,1,1,1,1,0,1,10411,2015
2,2,2,2,2,2,2,4,1,1,0,1,10412,2015
2,2,2,2,2,2,2,1,2,1,0,1,10413,2015
2,2,2,2,2,2,1,1,2,1,0,1,10414,2015
2,2,2,2,2,2,2,4,1,1,0,1,10415,2015
2,2,2,2,2,2,1,1,2,1,0,1,10416,2015
2,2,2,2,2,2,1,4,1,1,0,1,10417,2015
1,1,1,1,1,2,2,1,1,1,0,1,10418,2015
2,2,2,2,1,1,2,1,2,2,0,1,10419,2015
2,2,2,2,2,2,1,1,1,1,0,1,10420,2015
2,2,2,2,2,2,1,1,1,1,0,1,10421,2015
2,2,2,2,1,1,2,4,1,1,0,1,10422,2015
1,1,1,1,1,2,2,1,1,2,0,1,10423,2015
2,2,2,2,2,2,2,4,1,1,0,1,10424,2015
2,2,2,2,2,2,2,1,1,1,0,1,10425,2015
2,2,2,2,2,2,2,1,2,1,0,1,10426,2015
2,2,2,2,2,2,2,4,1,1,0,1,10427,2015
1,1,1,1,1,2,2,4,1,1,0,1,10428,2015
2,2,2,2,2,2,2,1,2,1,0,1,10429,2015
1,1,1,1,1,2,2,4,1,1,0,1,10430,2015
2,2,2,2,2,2,2,4,1,1,0,1,10431,2015
2,2,2,2,2,2,1,4,2,1,0,1,10432,2015
2,2,2,2,1,1,2,4,2,1,0,1,10433,2015
2,2,2,2,2,2,2,4,1,1,0,1,10434,2015
2,2,2,2,2,2,2,4,1,1,0,1,10435,2015
2,2,2,2,2,2,1,3,1,1,0,1,10436,2015
2,2,2,2,1,1,2,3,1,1,0,1,10437,2015
2,2,2,2,2,2,2,1,1,1,0,1,10438,2015
2,2,2,2,2,2,2,4,2,1,0,1,10439,2015
2,2,2,2,2,2,1,1,1,1,0,1,10440,2015
2,2,2,2,2,2,2,1,1,1,0,1,10441,2015
2,2,2,2,2,2,2,4,2,1,0,1,10442,2015
2,2,2,2,2,2,1,4,1,1,0,1,10443,2015
2,2,2,2,2,2,2,4,1,1,0,1,10444,2015
2,2,2,2,2,2,1,1,1,1,0,1,10445,2015
2,2,2,2,2,2,1,4,2,1,0,1,10446,2015
2,2,2,2,2,2,2,1,1,1,0,1,10447,2015
2,2,2,2,2,2,2,4,1,1,0,1,10448,2015
1,1,1,1,1,2,2,1,1,1,0,1,10449,2015
2,2,2,2,2,2,2,1,1,1,0,1,10450,2015
2,2,2,2,2,2,1,1,1,1,0,1,10451,2015
2,2,2,2,2,2,2,3,2,1,0,1,10452,2015
